title,movieId,tag,genres,year,combined
George Carlin: Jammin' in New York (1992),140265,stand_up_comedy cynical golf comedy war gulf_war original,comedy,1992,stand_up_comedy cynical golf comedy war gulf_war original comedy
The Gift (2015),140247,intense twist_ending twist psychology great_ending great_acting plot_twist psychological suspense twists_&_turns tense thriller suspenseful creepy paranoia,drama horror,2015,intense twist_ending twist psychology great_ending great_acting plot_twist psychological suspense twists_&_turns tense thriller suspenseful creepy paranoia drama horror
Tarzan II (2005),140212,sequels animation,adventure animation children,2005,sequels animation adventure animation children
Room (2015),140174,intense imagination based_on_a_book drama emotional oscar great_acting touching oscar_(best_actress) storytelling oscar_(best_picture) dramatic imdb_top_250 mother_son_relationship original heartbreaking,drama,2015,intense imagination based_on_a_book drama emotional oscar great_acting touching oscar_(best_actress) storytelling oscar_(best_picture) dramatic imdb_top_250 mother_son_relationship original heartbreaking drama
Love (2015),140162,sexual sexuality erotic art_house male_nudity relationships intimate sex pornography love,drama romance,2015,sexual sexuality erotic art_house male_nudity relationships intimate sex pornography love drama romance
Descendants (2015),140160,teenager teen_movie fairy_tale,action adventure comedy,2015,teenager teen_movie fairy_tale action adventure comedy
Extinction (2015),140131,post_apocalyptic zombie end_of_the_world zombies virus apocalypse survival,drama horror sci_fi,2015,post_apocalyptic zombie end_of_the_world zombies virus apocalypse survival drama horror sci_fi
The Intern (2015),140110,feel_good mentor heartwarming workplace feel_good_movie chick_flick romantic_comedy,comedy,2015,feel_good mentor heartwarming workplace feel_good_movie chick_flick romantic_comedy comedy
Our Little Sister (2015),140106,family_drama small_town sisters japan tokyo family_bonds,comedy,2015,family_drama small_town sisters japan tokyo family_bonds comedy
The Vatican Tapes (2015),140074,surveillance handycam horror demons supernatural fake_documentary original devil,horror thriller,2015,surveillance handycam horror demons supernatural fake_documentary original devil horror thriller
Madly in Love (1981),140038,bollywood,comedy,1981,bollywood comedy
How to Make Love Like an Englishman (2014),139915,romantic relationships girlie_movie romantic_comedy,comedy romance,2014,romantic relationships girlie_movie romantic_comedy comedy romance
Ghost in the Shell Arise - Border 4: Ghost Stands Alone (2014),139863,franchise series visually_appealing storytelling anime complex violence technology original,action animation sci_fi,2014,franchise series visually_appealing storytelling anime complex violence technology original action animation sci_fi
Ghost in the Shell Arise - Border 3: Ghost Tears (2014),139861,cerebral existentialism visually_appealing suspense complex dark_humor crime original,action animation sci_fi,2014,cerebral existentialism visually_appealing suspense complex dark_humor crime original action animation sci_fi
Ghost in the Shell Arise - Border 2: Ghost Whispers (2013),139859,cyborgs visually_appealing science_fiction fight_scenes storytelling anime complex japan,action animation sci_fi thriller,2013,cyborgs visually_appealing science_fiction fight_scenes storytelling anime complex japan action animation sci_fi thriller
Colonia (2016),139857,true_story based_on_true_story based_on_a_true_story drama latin_america suspenseful emma_watson,thriller,2016,true_story based_on_true_story based_on_a_true_story drama latin_america suspenseful emma_watson thriller
Anomalisa (2015),139855,cerebral weird stop_motion surreal existentialism depressing animation loneliness psychological hotel melancholic oscar_(best_animated_feature) relationships intimate depression pornography midlife_crisis original,animation comedy fantasy,2015,cerebral weird stop_motion surreal existentialism depressing animation loneliness psychological hotel melancholic oscar_(best_animated_feature) relationships intimate depression pornography midlife_crisis original animation comedy fantasy
Best of Enemies (2015),139757,world_politics free_speech political journalism documentary intellectual corruption politics original,documentary,2015,world_politics free_speech political journalism documentary intellectual corruption politics original documentary
Before We Go (2014),139747,romance love_story romantic relationships love,romance,2014,romance love_story romantic relationships love romance
Dark Was the Night (2014),139723,horror great_ending,horror thriller,2014,horror great_ending horror thriller
X+Y (2014),139721,disability coming_of_age mentor mathematics math autism,comedy drama,2014,disability coming_of_age mentor mathematics math autism comedy drama
Goodnight Mommy (Ich seh ich seh) (2014),139655,weird twist_ending twist psychology horror disturbing plot_twist tense psychological ominous creepy,drama fantasy horror thriller,2014,weird twist_ending twist psychology horror disturbing plot_twist tense psychological ominous creepy drama fantasy horror thriller
Sicario (2015),139644,amazing_cinematography visceral organized_crime violence crime gritty thriller violent brutal great_acting suspense drugs corruption hit_men intense moral_ambiguity tense brutality vengeance cinematography,crime drama mystery,2015,amazing_cinematography visceral organized_crime violence crime gritty thriller violent brutal great_acting suspense drugs corruption hit_men intense moral_ambiguity tense brutality vengeance cinematography crime drama mystery
Southpaw (2015),139642,father_daughter_relationship tragedy drama mentor sports redemption fight_scenes death boxing,action drama,2015,father_daughter_relationship tragedy drama mentor sports redemption fight_scenes death boxing action drama
Baahubali: The Beginning (2015),139575,visual bollywood indians mythology india,action drama,2015,visual bollywood indians mythology india action drama
Cartel Land (2015),139525,intense violent visceral drugs brutality murder documentary drug_abuse tense violence corruption vigilantism vigilante original mexico,action documentary drama,2015,intense violent visceral drugs brutality murder documentary drug_abuse tense violence corruption vigilantism vigilante original mexico action documentary drama
One Minute Time Machine (2014),139419,short,comedy mystery romance,2014,short comedy mystery romance
Tale of Tales (2015),139417,visual imagination surreal whimsical fantasy_world weird fairy_tale allegory visually_stunning visually_appealing dark dark_fantasy obsession storytelling surrealism fantasy fairy_tales,fantasy,2015,visual imagination surreal whimsical fantasy_world weird fairy_tale allegory visually_stunning visually_appealing dark dark_fantasy obsession storytelling surrealism fantasy fairy_tales fantasy
Irrational Man (2015),139415,life_philosophy existentialism philosophical murder intellectual dark_humor crime philosophy,crime drama,2015,life_philosophy existentialism philosophical murder intellectual dark_humor crime philosophy crime drama
The Revenant (2015),139385,visual amazing_cinematography oscar_(best_actor) indians visually_stunning visceral violence revenge survival oscar_(best_directing) drama visually_appealing oscar oscar_(best_cinematography) storytelling beautifully_filmed violent brutal great_acting oscar_(best_supporting_actor) scenic wilderness beautiful_scenery great_cinematography stunning intense brutality oscar_(best_picture) vengeance amazing_photography cinematography,adventure drama,2015,visual amazing_cinematography oscar_(best_actor) indians visually_stunning visceral violence revenge survival oscar_(best_directing) drama visually_appealing oscar oscar_(best_cinematography) storytelling beautifully_filmed violent brutal great_acting oscar_(best_supporting_actor) scenic wilderness beautiful_scenery great_cinematography stunning intense brutality oscar_(best_picture) vengeance amazing_photography cinematography adventure drama
Bajrangi Bhaijaan (2015),139148,bollywood indians drama touching india,no_genres_listed,2015,bollywood indians drama touching india no_genres_listed
Afro Samurai (2007),139130,splatter animation ninja bloody stylish samurai anime vengeance revenge,action adventure animation drama fantasy,2007,splatter animation ninja bloody stylish samurai anime vengeance revenge action adventure animation drama fantasy
Mustang (2015),139120,transgender adolescence women coming_of_age drama virginity oscar_(best_foreign_language_film) sisters islam,drama,2015,transgender adolescence women coming_of_age drama virginity oscar_(best_foreign_language_film) sisters islam drama
You Don't Know Bo (2012),139106,great_movie football documentary baseball sports,documentary,2012,great_movie football documentary baseball sports documentary
Once Brothers (2010),139100,political war violence narrated story drama storytelling imdb_top_250 politics friendship great_movie twists_&_turns suspense social_commentary interesting unlikely_friendships civil_war documentary vengeance original sports,documentary,2010,political war violence narrated story drama storytelling imdb_top_250 politics friendship great_movie twists_&_turns suspense social_commentary interesting unlikely_friendships civil_war documentary vengeance original sports documentary
Four Days in October (2010),139098,great_movie boston mentor documentary sports,documentary,2010,great_movie boston mentor documentary sports documentary
The U (2009),139090,football great_acting school documentary college rags_to_riches sports,documentary,2009,football great_acting school documentary college rags_to_riches sports documentary
Dark Places (2015),139052,based_on_a_book investigation based_on_book murder murder_mystery,drama mystery thriller,2015,based_on_a_book investigation based_on_book murder murder_mystery drama mystery thriller
Return to Treasure Island (1988),138835,animated russian cartoon animation,adventure animation comedy,1988,animated russian cartoon animation adventure animation comedy
Feast (2014),138702,too_short short friendship animation dogs cute computer_animation dog love,animation children comedy drama romance,2014,too_short short friendship animation dogs cute computer_animation dog love animation children comedy drama romance
The Gallows (2015),138610,handycam teens horror creepy supernatural teen scary high_school teen_movie,horror thriller,2015,handycam teens horror creepy supernatural teen scary high_school teen_movie horror thriller
Staten Island Summer (2015),138230,teenager marijuana coming_of_age teens new_jersey cult_classic funny fun_movie comedy saturday_night_live teen teen_movie teenagers good_action,comedy,2015,teenager marijuana coming_of_age teens new_jersey cult_classic funny fun_movie comedy saturday_night_live teen teen_movie teenagers good_action comedy
Spectral (2016),138212,adapted_from:game plot_holes big_budget action cyberpunk technology science_fiction special_effects supernatural sci_fi scifi futuristic military weapons,no_genres_listed,2016,adapted_from:game plot_holes big_budget action cyberpunk technology science_fiction special_effects supernatural sci_fi scifi futuristic military weapons no_genres_listed
13 Hours (2016),138210,best_war_films true_story based_on_a_true_story courage action war military islam,drama,2016,best_war_films true_story based_on_a_true_story courage action war military islam drama
The Walk (2015),138208,true_story visual based_on_true_story based_on_a_true_story mentor visually_appealing storytelling biographical,adventure drama thriller,2015,true_story visual based_on_true_story based_on_a_true_story mentor visually_appealing storytelling biographical adventure drama thriller
7 Days in Hell (2015),138204,irreverent original absurd funny very_funny satire comedy silly mockumentary goofy hilarious fake_documentary parody spoof sports,comedy,2015,irreverent original absurd funny very_funny satire comedy silly mockumentary goofy hilarious fake_documentary parody spoof sports comedy
Burying the Ex (2015),138202,horror zombie,comedy horror,2015,horror zombie comedy horror
Justice League: Gods and Monsters (2015),138104,super_hero superhero animation dc_comics superheroes batman vigilante alternate_universe,action animation,2015,super_hero superhero animation dc_comics superheroes batman vigilante alternate_universe action animation
The Man from U.N.C.L.E. (2015),138036,cold_war based_on_a_tv_show chase action visually_appealing nuclear_bomb secret_service fun_movie stylish spying spy espionage fast_paced spies,action adventure comedy,2015,cold_war based_on_a_tv_show chase action visually_appealing nuclear_bomb secret_service fun_movie stylish spying spy espionage fast_paced spies action adventure comedy
"I, Claudius (1976)",137904,drama series history,drama,1976,drama series history drama
Dragon Ball Z: Resurrection of F (2015),137863,franchise cool epic action awesome_soundtrack action_packed fight_scenes fighting anime,action adventure animation fantasy,2015,franchise cool epic action awesome_soundtrack action_packed fight_scenes fighting anime action adventure animation fantasy
The Jungle Book (2016),137857,visual animals based_on_a_book talking_animals animation visually_stunning visually_appealing cartoon cgi jungle original,adventure drama fantasy,2016,visual animals based_on_a_book talking_animals animation visually_stunning visually_appealing cartoon cgi jungle original adventure drama fantasy
The Search for General Tso (2014),137761,documentary china history,documentary,2014,documentary china history documentary
Magic Mike XXL (2015),137595,women sexy dance dancing strippers road_trip,comedy drama,2015,women sexy dance dancing strippers road_trip comedy drama
Blue Lagoon: The Awakening (2012),137457,teenager teens stranded island pg_13 girlie_movie teen survival teenagers high_school teen_movie,romance,2012,teenager teens stranded island pg_13 girlie_movie teen survival teenagers high_school teen_movie romance
Amy (2015),137337,jazz drugs addiction documentary drug_abuse depression drug_addiction musicians heartbreaking,documentary,2015,jazz drugs addiction documentary drug_abuse depression drug_addiction musicians heartbreaking documentary
Naruto Shippuden the Movie: Road to Ninja (2012),137062,anime ninja series action,action adventure animation fantasy,2012,anime ninja series action action adventure animation fantasy
Batman v Superman: Dawn of Justice (2016),136864,marvel comics super_hero dark_hero superhero big_budget dc_comics visually_appealing action pg_13 fight_scenes comic_book based_on_a_comic batman superheroes vigilante adapted_from:comic,action adventure fantasy sci_fi,2016,marvel comics super_hero dark_hero superhero big_budget dc_comics visually_appealing action pg_13 fight_scenes comic_book based_on_a_comic batman superheroes vigilante adapted_from:comic action adventure fantasy sci_fi
Let Us Prey (2014),136798,small_town horror police brutality secrets violence serial_killer,horror,2014,small_town horror police brutality secrets violence serial_killer horror
Manglehorn (2014),136656,melancholic new_jersey small_town love,drama,2014,melancholic new_jersey small_town love drama
Creep (2014),136602,weird horror creepy serial_killer,horror thriller,2014,weird horror creepy serial_killer horror thriller
Vacation (2015),136598,remake sequel foul_language funny comedy road_trip,adventure comedy,2015,remake sequel foul_language funny comedy road_trip adventure comedy
Santa Claus is Comin' to Town (1970),136588,stop_motion holiday christmas toys animation cartoon children musical childhood classic,animation children fantasy,1970,stop_motion holiday christmas toys animation cartoon children musical childhood classic animation children fantasy
Macbeth (2015),136564,visual scotland visually_stunning visually_appealing based_on_a_play shakespeare stylized cinematography,drama,2015,visual scotland visually_stunning visually_appealing based_on_a_play shakespeare stylized cinematography drama
Steve Jobs (2015),136562,father_daughter_relationship dialogue_driven great_acting biopic biographical dialogue technology biography original,drama,2015,father_daughter_relationship dialogue_driven great_acting biopic biographical dialogue technology biography original drama
Kung Fu Panda: Secrets of the Masters (2011),136556,animals kung_fu animation cartoon mentor story original,animation children,2011,animals kung_fu animation cartoon mentor story original animation children
Mickey's Christmas Carol (1983),136542,disney_animated_feature holiday family greed christmas ghosts animation cartoon story fun_movie children childhood goofy classic,animation children,1983,disney_animated_feature holiday family greed christmas ghosts animation cartoon story fun_movie children childhood goofy classic animation children
Teen Titans: Trouble in Tokyo (2007),136538,tokyo superheroes ninja,action adventure animation children sci_fi,2007,tokyo superheroes ninja action adventure animation children sci_fi
Three Little Pigs (1933),136501,short fairy_tale animated animation cartoon pigs disney classic,animation children comedy musical,1933,short fairy_tale animated animation cartoon pigs disney classic animation children comedy musical
Robot Chicken: Star Wars (2007),136485,star_wars hilarious funny parody,animation comedy sci_fi,2007,star_wars hilarious funny parody animation comedy sci_fi
One Froggy Evening (1955),136477,animation cartoon greed,animation children comedy,1955,animation cartoon greed animation children comedy
Kevin Hart: Laugh at My Pain (2011),136471,stand_up_comedy comedy funny,comedy documentary,2011,stand_up_comedy comedy funny comedy documentary
Jim Gaffigan: Beyond the Pale (2006),136463,stand_up_comedy funny,comedy,2006,stand_up_comedy funny comedy
Jeff Dunham: Spark of Insanity (2007),136459,stand_up_comedy super_hero superhero funny comedy hilarious,comedy,2007,stand_up_comedy super_hero superhero funny comedy hilarious comedy
Jeff Dunham: Arguing with Myself (2006),136457,stand_up_comedy comedy funny,comedy,2006,stand_up_comedy comedy funny comedy
Ghost in the Shell 2.0 (2008),136449,visual original,action animation sci_fi,2008,visual original action animation sci_fi
George Carlin: You Are All Diseased (1999),136447,social_commentary stand_up_comedy cynical mentor comedy special oscar_(best_directing) original,comedy,1999,social_commentary stand_up_comedy cynical mentor comedy special oscar_(best_directing) original comedy
George Carlin: Back in Town (1996),136445,social_commentary cynical politics stand_up_comedy,comedy,1996,social_commentary cynical politics stand_up_comedy comedy
Gabriel Iglesias: Hot and Fluffy (2007),136443,stand_up_comedy comedy funny very_funny,comedy,2007,stand_up_comedy comedy funny very_funny comedy
Aloha Scooby-Doo! (2005),136345,animation cartoon,animation children,2005,animation cartoon animation children
Scooby-Doo and the Cyber Chase (2001),136337,video_game cartoon computer_game virus,animation children,2001,video_game cartoon computer_game virus animation children
Scooby-Doo and the Alien Invaders (2000),136335,chase supernatural alien,animation children,2000,chase supernatural alien animation children
Sharknado 3: Oh Hell No! (2015),136305,splatter franchise shark sequel space parody original,horror sci_fi,2015,splatter franchise shark sequel space parody original horror sci_fi
Scooby-Doo on Zombie Island (1998),136247,animated ghosts animation cartoon kids_and_family,animation children comedy mystery,1998,animated ghosts animation cartoon kids_and_family animation children comedy mystery
Scooby-Doo! and the Reluctant Werewolf (1988),136245,cartoon fun_movie,animation children comedy mystery,1988,cartoon fun_movie animation children comedy mystery
Smart House (1999),136239,girlie_movie,children drama fantasy sci_fi,1999,girlie_movie children drama fantasy sci_fi
The Second Mother (2015),136204,social_commentary foreign relationships brazil oscar_(best_actress) segregation,drama,2015,social_commentary foreign relationships brazil oscar_(best_actress) segregation drama
Spectre (2015),136020,assassin james_bond chase 007 dark_hero franchise bond action pg_13 secret_service spying spy espionage 007_(series) spies,action adventure crime,2015,assassin james_bond chase 007 dark_hero franchise bond action pg_13 secret_service spying spy espionage 007_(series) spies action adventure crime
Black Mass (2015),136018,mafia true_story based_on_a_book boston gangsters based_on_a_true_story gangster based_on_true_story mob violent brutality organized_crime crime biopic biographical violence corruption,crime drama,2015,mafia true_story based_on_a_book boston gangsters based_on_a_true_story gangster based_on_true_story mob violent brutality organized_crime crime biopic biographical violence corruption crime drama
The Good Dinosaur (2015),136016,dinosaurs family kids pixar animation computer_animation kids_and_family pixar_animation,adventure animation children comedy fantasy,2015,dinosaurs family kids pixar animation computer_animation kids_and_family pixar_animation adventure animation children comedy fantasy
Leroy & Stitch (2006),135953,series alien,animation children comedy,2006,series alien animation children comedy
The House at the End of Time (2013),135889,plot_holes horror twists_&_turns suspense haunted_house supernatural original,horror,2013,plot_holes horror twists_&_turns suspense haunted_house supernatural original horror
Minions (2015),135887,kids animation children comedy cute kids_and_family,adventure animation children comedy,2015,kids animation children comedy cute kids_and_family adventure animation children comedy
Absolutely Anything (2015),135885,comedy silly_fun aliens alien,comedy sci_fi,2015,comedy silly_fun aliens alien comedy sci_fi
Queen (2014),135875,bollywood feel_good women foreign indians good_music great_acting dramatic girlie_movie imdb_top_250 india friendship life,comedy,2014,bollywood feel_good women foreign indians good_music great_acting dramatic girlie_movie imdb_top_250 india friendship life comedy
Rabbit Fire (1951),135867,greed hunting cartoon rabbits goofy classic,animation children comedy,1951,greed hunting cartoon rabbits goofy classic animation children comedy
Ted 2 (2015),135861,sequel crude_humor comedy sequels weed,comedy,2015,sequel crude_humor comedy sequels weed comedy
Dhoom 3 (2013),135823,bollywood,action crime thriller,2013,bollywood action crime thriller
The Dawns Here are Quiet (1972),135753,best_war_films russian,drama war,1972,best_war_films russian drama war
The Disappointments Room (2015),135643,horrible ghosts supernatural haunted_house,no_genres_listed,2015,horrible ghosts supernatural haunted_house no_genres_listed
Final Girl (2015),135625,assassin mentor,action drama thriller,2015,assassin mentor action drama thriller
Star Trek Beyond (2016),135569,star_trek series action franchise alien adventure visually_appealing special_effects scifi space_opera technology future space_travel space pg_13 science_fiction spock fast_paced big_budget aliens sci_fi futuristic good_action,action adventure sci_fi,2016,star_trek series action franchise alien adventure visually_appealing special_effects scifi space_opera technology future space_travel space pg_13 science_fiction spock fast_paced big_budget aliens sci_fi futuristic good_action action adventure sci_fi
Independence Day: Resurgence (2016),135567,end_of_the_world alien alien_invasion big_budget sequel aliens space special_effects science_fiction scifi sci_fi futuristic space_opera,action adventure sci_fi,2016,end_of_the_world alien alien_invasion big_budget sequel aliens space special_effects science_fiction scifi sci_fi futuristic space_opera action adventure sci_fi
Suicide Squad (2016),135536,marvel comics super_hero superhero plot_holes big_budget dc_comics action visually_appealing pg_13 superheroes based_on_a_comic comic_book bad_cgi adapted_from:comic,action crime sci_fi,2016,marvel comics super_hero superhero plot_holes big_budget dc_comics action visually_appealing pg_13 superheroes based_on_a_comic comic_book bad_cgi adapted_from:comic action crime sci_fi
Krampus (2015),135534,holiday family horror dysfunctional_family creepy original christmas,comedy fantasy horror,2015,holiday family horror dysfunctional_family creepy original christmas comedy fantasy horror
The Last Witch Hunter (2015),135532,immortality fantasy_world witches action dark_fantasy magic witch supernatural mythology fantasy,action adventure fantasy,2015,immortality fantasy_world witches action dark_fantasy magic witch supernatural mythology fantasy action adventure fantasy
Criminal (2016),135530,chase surveillance action spying spy espionage memory,action crime drama sci_fi,2016,chase surveillance action spying spy espionage memory action crime drama sci_fi
Self/less (2015),135518,immortality chase action science_fiction sci_fi scifi cancer,action mystery sci_fi thriller,2015,immortality chase action science_fiction sci_fi scifi cancer action mystery sci_fi thriller
Little Boy (2015),135504,feel_good world_war_ii drama heartwarming touching,comedy drama war,2015,feel_good world_war_ii drama heartwarming touching comedy drama war
The Boy and the World (2013),135502,weird coming_of_age childhood,animation,2013,weird coming_of_age childhood animation
The Skeleton Dance (1929),135442,macabre music black_and_white animation cartoon animated spiders criterion creepy classic,animation,1929,macabre music black_and_white animation cartoon animated spiders criterion creepy classic animation
The Secret Life of Pets (2016),135436,animals talking_animals animated animation cute computer_animation dog kids_and_family,animation comedy,2016,animals talking_animals animated animation cute computer_animation dog kids_and_family animation comedy
Fantastic Beasts and Where to Find Them 2 (2018),135426,fantasy_world,no_genres_listed,2018,fantasy_world no_genres_listed
Mr. Holmes (2015),135288,based_on_a_book drama mentor memory_loss detective melancholic memory,drama mystery,2015,based_on_a_book drama mentor memory_loss detective melancholic memory drama mystery
Wendy Wu: Homecoming Warrior (2006),135278,martial_arts kung_fu,action adventure children,2006,martial_arts kung_fu action adventure children
Zenon: Girl of the 21st Century (1999),135264,future fun_movie,adventure children comedy,1999,future fun_movie adventure children comedy
The Star Wars Holiday Special (1978),135216,space_opera horrible holiday franchise,adventure children comedy sci_fi,1978,space_opera horrible holiday franchise adventure children comedy sci_fi
Fantastic Beasts and Where to Find Them (2016),135143,visual visually_stunning magic fantasy imagination whimsical wizards franchise fantasy_world story adventure visually_appealing new_york special_effects mythology teleportation high_fantasy witches cgi harry_potter,fantasy,2016,visual visually_stunning magic fantasy imagination whimsical wizards franchise fantasy_world story adventure visually_appealing new_york special_effects mythology teleportation high_fantasy witches cgi harry_potter fantasy
Allegiant: Part 1 (2016),135141,dystopia based_on_a_book dystopic_future revolution futuristic,adventure sci_fi,2016,dystopia based_on_a_book dystopic_future revolution futuristic adventure sci_fi
Pixels (2015),135137,alien aliens fun_movie video_game video_games,action comedy sci_fi,2015,alien aliens fun_movie video_game video_games action comedy sci_fi
Max (2015),135135,dogs dog,adventure children drama,2015,dogs dog adventure children drama
The Hunger Games: Mockingjay - Part 2 (2015),135133,dystopia based_on_a_book franchise action mentor propaganda pg_13 rebellion revolution trilogy adapted_from:book,adventure sci_fi,2015,dystopia based_on_a_book franchise action mentor propaganda pg_13 rebellion revolution trilogy adapted_from:book adventure sci_fi
Metro (2013),135127,catastrophe disaster russia,action thriller,2013,catastrophe disaster russia action thriller
Police Story 2013 (2013),134945,fight_scenes action kung_fu,action crime drama thriller,2013,fight_scenes action kung_fu action crime drama thriller
Love & Mercy (2014),134881,genius rock_and_roll mental_illness music 1960s mentor oscar_(best_supporting_actor) biopic biographical 1980s musicians biography,drama,2014,genius rock_and_roll mental_illness music 1960s mentor oscar_(best_supporting_actor) biopic biographical 1980s musicians biography drama
Tanu Weds Manu (2011),134867,bollywood feel_good indians good_music fun feel_good_movie india,comedy drama romance,2011,bollywood feel_good indians good_music fun feel_good_movie india comedy drama romance
The Wolfpack (2015),134859,documentary brothers original,documentary,2015,documentary brothers original documentary
Inside Out (2015),134853,kids pixar animation visually_stunning emotional heartwarming imaginary_friend oscar_(best_animated_feature) depression childhood imagination storytelling computer_animation kids_and_family memory cartoon touching heartbreaking nostalgic sad bittersweet children pixar_animation original,adventure animation children comedy drama fantasy,2015,kids pixar animation visually_stunning emotional heartwarming imaginary_friend oscar_(best_animated_feature) depression childhood imagination storytelling computer_animation kids_and_family memory cartoon touching heartbreaking nostalgic sad bittersweet children pixar_animation original adventure animation children comedy drama fantasy
5 Flights Up (2014),134851,foul_language new_york original,drama,2014,foul_language new_york original drama
Duck Amuck (1953),134849,masterpiece animation cartoon imdb_top_250 criterion oscar_(best_directing) original,animation children comedy,1953,masterpiece animation cartoon imdb_top_250 criterion oscar_(best_directing) original animation children comedy
Bitter Lake (2015),134796,world_politics political documentary complex corruption politics middle_east islam,documentary,2015,world_politics political documentary complex corruption politics middle_east islam documentary
Dragon Blade (2015),134775,kung_fu big_budget fight_scenes martial_arts china,action adventure drama,2015,kung_fu big_budget fight_scenes martial_arts china action adventure drama
The Fantastic Flying Books of Mr. Morris Lessmore (2011),134751,stop_motion whimsical short books family based_on_a_book animation visually_appealing based_on_book book,adventure animation children drama,2011,stop_motion whimsical short books family based_on_a_book animation visually_appealing based_on_book book adventure animation children drama
Taxi (2015),134680,censorship iran poverty,comedy drama,2015,censorship iran poverty comedy drama
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau (2014),134601,very_interesting cult_classic light documentary criterion original,documentary,2014,very_interesting cult_classic light documentary criterion original documentary
She's Funny That Way (2015),134569,screwball_comedy,comedy,2015,screwball_comedy comedy
Aloha (2015),134528,hawaii,comedy drama romance,2015,hawaii comedy drama romance
Trainwreck (2015),134393,comedy romantic_comedy,comedy romance,2015,comedy romantic_comedy comedy romance
Tinker Bell (2008),134374,animation,adventure animation children fantasy,2008,animation adventure animation children fantasy
Spy (2015),134368,parody surveillance action funny secret_service comedy spy spying espionage arms_dealer hilarious spies spoof,action comedy crime,2015,parody surveillance action funny secret_service comedy spy spying espionage arms_dealer hilarious spies spoof action comedy crime
The Taming of the Scoundrel (1980),134326,italian con_artists comedy funny,comedy,1980,italian con_artists comedy funny comedy
That Munchhausen (1979),134252,masterpiece russian,comedy drama fantasy,1979,masterpiece russian comedy drama fantasy
Striped Trip (1961),134250,animals lions comedy family,comedy,1961,animals lions comedy family comedy
Hot Girls Wanted (2015),134248,women documentary bdsm pornography,documentary,2015,women documentary bdsm pornography documentary
Survivor (2015),134246,assassin chase surveillance assassination terrorism conspiracy action secret_service tom_clancy spy spying espionage assassins spies london,action thriller,2015,assassin chase surveillance assassination terrorism conspiracy action secret_service tom_clancy spy spying espionage assassins spies london action thriller
Wake Up Sid (2009),134230,melancholic bollywood,comedy drama romance,2009,melancholic bollywood comedy drama romance
Youth (2015),134214,existentialism loneliness oscar_(best_cinematography) oscar_(best_foreign_language_film) melancholic depression slow_paced cinematography,drama,2015,existentialism loneliness oscar_(best_cinematography) oscar_(best_foreign_language_film) melancholic depression slow_paced cinematography drama
A Hard Day (2014),134204,chase police_corruption action twists_&_turns detective tense suspense thriller crime suspenseful,action crime thriller,2014,chase police_corruption action twists_&_turns detective tense suspense thriller crime suspenseful action crime thriller
Kung Fury (2015),134170,kung_fu action 80s martial_arts 1980s,action comedy fantasy sci_fi,2015,kung_fu action 80s martial_arts 1980s action comedy fantasy sci_fi
The Martian (2015),134130,visual based_on_a_book stranded visually_stunning nasa survival dramatic adapted_from:book drama based_on_book astronauts scifi space_opera technology space_travel space mars pg_13 science_fiction suspense space_program science sci_fi futuristic original,adventure drama sci_fi,2015,visual based_on_a_book stranded visually_stunning nasa survival dramatic adapted_from:book drama based_on_book astronauts scifi space_opera technology space_travel space mars pg_13 science_fiction suspense space_program science sci_fi futuristic original adventure drama sci_fi
Afonya (1975),134041,russia russian love,comedy drama romance,1975,russia russian love comedy drama romance
5 to 7 (2014),134021,romance romantic relationships france romantic_comedy french,comedy drama romance,2014,romance romantic relationships france romantic_comedy french comedy drama romance
Deep Web (2015),133945,surveillance internet drugs documentary road_movie crime politics,documentary,2015,surveillance internet drugs documentary road_movie crime politics documentary
MI-5 (2015),133869,chase terrorism series action secret_service spying spy espionage spies good_action,action drama thriller,2015,chase terrorism series action secret_service spying spy espionage spies good_action action drama thriller
Barely Lethal (2015),133867,teenager assassin teens girlie_movie teen teenagers high_school teen_movie,action adventure comedy,2015,teenager assassin teens girlie_movie teen teenagers high_school teen_movie action adventure comedy
The Green Inferno (2014),133832,splatter bdsm cannibalism horror brutality jungle gory,horror thriller,2014,splatter bdsm cannibalism horror brutality jungle gory horror thriller
The Human Centipede III (Final Sequence) (2015),133824,splatter gore torture horror brutality violence,horror,2015,splatter gore torture horror brutality violence horror
Slow West (2015),133802,indians gunfight melancholic scenic western cinematography,action thriller western,2015,indians gunfight melancholic scenic western cinematography action thriller western
Hot Pursuit (2015),133798,police,action comedy,2015,police action comedy
Maggie (2015),133782,family_drama zombie father_daughter_relationship zombies virus apocalypse,drama horror thriller,2015,family_drama zombie father_daughter_relationship zombies virus apocalypse drama horror thriller
The Lobster (2015),133771,social_commentary weird surreal dystopia existentialism allegory loneliness absurd bleak art_house dark hotel off_beat_comedy obsession relationships dark_humor original,comedy romance sci_fi,2015,social_commentary weird surreal dystopia existentialism allegory loneliness absurd bleak art_house dark hotel off_beat_comedy obsession relationships dark_humor original comedy romance sci_fi
Hera Pheri (2000),133769,bollywood indians great_acting comedy imdb_top_250 oscar_(best_directing),comedy,2000,bollywood indians great_acting comedy imdb_top_250 oscar_(best_directing) comedy
Andaz Apna Apna (1994),133767,bollywood,comedy drama romance,1994,bollywood comedy drama romance
Bootleggers (1961),133716,russian comedy russia dog,comedy crime,1961,russian comedy russia dog comedy crime
